,Unnamed: 0,cast_id,character,credit_id,gender,id,name,order,profile_path,movies,appearance,budget_array
12,12,27,TV Announcer (voice),52fe4284c3a36847f8024fc5,2,37221,Penn Jillette,12,/zmAaXUdx12NRsssgHbk1T31j2x9.jpg,"[862, 10428, 1878, 49948, 39406, 37146, 78146, 31395, 15258, 15060, 26765, 191502, 212063, 262481, 316067, 331446, 324320, 394668, 419700]",19,"[30000000, 20000000, 18500000, 80000000, 0, 0, 5000000, 10700000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,13,1,Alan Parrish,52fe44bfc3a36847f80a7c73,2,2157,Robin Williams,0,/sojtJyIV3lkUeThD7A2oHNm8183.jpg,"[8844, 11000, 11472, 9090, 46924, 788, 812, 7095, 47199, 11238, 207, 10549, 12499, 2639, 9574, 489, 11335, 11597, 12159, 10312, 68426, 2290, 11498, 11005, 177, 2277, 801, 879, 26291, 11307, 644, 14506, 23111, 13225, 9275, 10164, 28466, 320, 9357, 140071, 11099, 30653, 26555, 41171, 9928, 24363, 15258, 191599, 9968, 9530, 1593, 9782, 15213, 9895, 9836, 2959, 5123, 18360, 20178, 22640, 22949, 26765, 53079, 65759, 32694, 87567, 132363, 152790, 5800, 278086, 214086, 181533, 286532, 26621, 174340, 21585, 86828, 36952, 259963, 21586, 27631, 20211]",82,"[65000000, 31000000, 0, 0, 40000000, 25000000, 28000000, 45000000, 0, 0, 16400000, 0, 85000000, 20000000, 80000000, 10000000, 20000000, 0, 85000000, 50000000, 0, 0, 0, 0, 24000000, 100000000, 13000000, 70000000, 1400000, 17000000, 100000000, 46630000, 0, 0, 55000000, 0, 0, 46000000, 12000000, 0, 0, 0, 15000000, 0, 75000000, 0, 0, 0, 18000000, 50000000, 110000000, 0, 0, 20000000, 100000000, 35000000, 25000000, 150000000, 10000000, 5100000, 35000000, 0, 0, 130000000, 0, 35000000, 25000000, 0, 0, 0, 4000000, 127000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,14,8,Samuel Alan Parrish / Van Pelt,52fe44bfc3a36847f80a7c99,2,8537,Jonathan Hyde,1,/7il5D76vx6QVRVlpVvBPEC40MBi.jpg,"[8844, 11011, 46924, 9360, 597, 564, 2575, 18976, 15414, 20537, 1441, 201085, 44488, 5764, 400329]",15,"[65000000, 40000000, 40000000, 45000000, 200000000, 80000000, 21000000, 0, 0, 0, 25000000, 55000000, 0, 0, 0]"
15,15,2,Judy Sheperd,52fe44bfc3a36847f80a7c77,1,205,Kirsten Dunst,2,/wBXvh6PJd0IUVNpvatPC1kzuHtm.jpg,"[8844, 628, 9587, 20318, 9444, 586, 11551, 19381, 10490, 16406, 9586, 1443, 9456, 1588, 10050, 10691, 9686, 35080, 557, 21052, 11820, 38, 558, 11823, 22792, 12778, 9621, 1887, 559, 13092, 46503, 62215, 83770, 84174, 58244, 86843, 96936, 41831, 109443, 192149, 62934, 245703, 60662, 381284, 399019]",45,"[65000000, 60000000, 18000000, 0, 53000000, 15000000, 40000000, 0, 10000000, 13000000, 47000000, 6000000, 10000000, 28000000, 10000000, 13000000, 15000000, 7000000, 139000000, 7500000, 65000000, 20000000, 200000000, 31000000, 300000, 0, 57000000, 40000000, 258000000, 27000000, 0, 7400000, 25000000, 3000000, 60000000, 0, 15000000, 0, 50000000, 0, 0, 18000000, 0, 25000000, 10500000]"
17,17,10,Sarah Whittle,52fe44bfc3a36847f80a7c9d,1,5149,Bonnie Hunt,4,/7spiVQwmr8siw5QCcvvdRG3c7Lf.jpg,"[8844, 9263, 9058, 11566, 25697, 9390, 15513, 380, 9487, 12618, 497, 2621, 585, 39541, 11806, 10438, 11007, 19965, 9641, 920, 13066, 10193, 49013, 209802, 62211, 13934, 77887, 269149, 260514]",29,"[65000000, 12000000, 0, 0, 0, 50000000, 0, 25000000, 120000000, 64000000, 60000000, 24000000, 115000000, 0, 0, 15000000, 40000000, 0, 60000000, 120000000, 0, 200000000, 200000000, 0, 200000000, 0, 0, 150000000, 175000000]"
18,18,25,Nora Shepherd,52fe44c0c3a36847f80a7ceb,1,10739,Bebe Neuwirth,5,/xm58rpMRVDHS0IGttw1pTlqGwkN.jpg,"[8844, 2246, 19042, 18975, 11112, 2028, 9466, 9276, 10279, 27141, 39141, 9919, 12157, 9499, 10337, 12634, 15653, 80919, 51985, 62670, 70859, 70554]",22,"[65000000, 0, 0, 0, 0, 0, 0, 15000000, 0, 0, 150000, 50000000, 0, 0, 30000000, 50000000, 0, 0, 0, 0, 0, 300000]"
19,19,26,Carl Bentley,52fe44c0c3a36847f80a7cef,2,58563,David Alan Grier,6,/5tkt3qRZTco4sz604aTIarQ0m8W.jpg,"[8844, 11066, 25066, 12475, 14908, 10403, 26522, 10137, 47816, 2621, 17711, 17006, 5709, 2749, 20678, 24558, 28219, 92802, 39927, 8325, 9692, 9722, 66487, 13948, 21724, 16577, 252407, 63287, 57089, 47913, 72359, 13611, 353311, 416477]",34,"[65000000, 40000000, 6000000, 0, 0, 8000000, 6000000, 133000000, 6000000, 24000000, 76000000, 0, 0, 60000000, 0, 1500000, 0, 0, 0, 0, 0, 85000000, 0, 20000000, 0, 65000000, 0, 0, 30000000, 0, 15, 250000, 0, 0]"
20,20,11,Carol Anne Parrish,52fe44bfc3a36847f80a7ca1,1,1276,Patricia Clarkson,7,/10ZSyaUqzUlKTd60HmeiGhlytZG.jpg,"[8844, 87190, 37636, 117, 825, 16172, 497, 125709, 5955, 10651, 34053, 58434, 44340, 96218, 9260, 10712, 13132, 24186, 2056, 1550, 14292, 553, 7342, 3291, 41189, 6948, 1717, 3638, 6615, 8060, 5038, 11671, 19079, 19265, 31189, 11324, 86097, 37735, 51828, 50544, 79775, 54469, 87499, 273160, 24202, 35568, 198663, 43922, 288691, 285843, 294254, 144114, 196867, 264763, 284286, 140278, 77261, 140465]",58,"[65000000, 50, 0, 25000000, 20000000, 6000000, 60000000, 0, 35000000, 20000000, 0, 0, 0, 0, 1200000, 13500000, 0, 0, 500000, 300000, 28000000, 10000000, 0, 7000000, 0, 0, 55000000, 28000000, 12000000, 12000000, 15000000, 13000000, 0, 15000000, 0, 80000000, 0, 8000000, 15000000, 35000000, 0, 10000000, 6500000, 0, 0, 0, 34000000, 0, 0, 0, 61000000, 0, 65000000, 0, 0, 0, 0, 0]"
23,23,31,Exterminator,52fe44c0c3a36847f80a7cff,2,51551,James Handy,10,/vm0WQmuP8jEGgFTd3VCcJe7zpUi.jpg,"[8844, 10249, 6488, 32060, 24226, 25212, 38921, 9741, 2749, 24679, 10345, 103198, 41586, 263115]",14,"[65000000, 42000000, 31000000, 0, 16000000, 0, 0, 75000000, 60000000, 0, 17000000, 0, 0, 97000000]"
30,30,34,Jim Shepherd,559356d09251415df8002cb7,2,27110,Malcolm Stewart,17,/l2vgzkLR7GRr8ugjZCILA0OiliI.jpg,"[8844, 13250, 17431, 21398, 38780, 27996, 2699, 50126, 299585, 40836, 315134]",11,"[65000000, 20000000, 5000000, 5000000, 0, 0, 13000000, 0, 0, 0, 0]"
39,39,2,Max Goldman,52fe466a9251416c75077a8d,2,6837,Walter Matthau,0,/xJVkvprOnzP5Zdh5y63y8HHniDZ.jpg,"[15602, 11777, 46732, 4808, 61536, 18080, 27472, 11123, 21849, 10385, 8333, 820, 11520, 11356, 18644, 43002, 1888, 46498, 66035, 23752, 26686, 23479, 32030, 28289, 28466, 36133, 85058, 12139, 14030, 987, 42514, 16561, 502, 76002, 36850, 27331, 47876, 29735, 85926, 19661, 11483, 26036, 4932, 107774, 52906, 57258, 89743, 129251, 118444, 42128, 43645, 81720, 110568, 36361, 248706, 38659, 149320, 153100]",58,"[0, 25000000, 0, 4000000, 0, 0, 0, 7000000, 0, 40000000, 0, 40000000, 0, 0, 0, 0, 0, 3000000, 0, 0, 0, 35000000, 0, 0, 0, 0, 0, 35000000, 24000000, 4000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75000, 0, 0, 0, 0, 0, 0]"
40,40,3,John Gustafson,52fe466a9251416c75077a91,2,3151,Jack Lemmon,1,/chZmNRYMtqkiDlatprGDH4BzGqG.jpg,"[15602, 695, 25697, 46732, 284, 239, 11575, 9504, 17795, 10549, 18080, 27472, 10403, 110643, 7227, 37853, 2690, 820, 11520, 52961, 11356, 2006, 4958, 1888, 32488, 21291, 39435, 36133, 26685, 15600, 12530, 987, 20444, 56188, 988, 26133, 43752, 20127, 38714, 40957, 60966, 3011, 80316, 43750, 12219, 130917, 82792, 49844, 60387, 103648, 163392, 90563, 163376, 237549, 59142, 60202, 19221, 153100]",58,"[0, 0, 0, 0, 3000000, 2883848, 12000000, 12500000, 0, 0, 0, 0, 8000000, 0, 6000000, 0, 0, 40000000, 0, 0, 0, 0, 80000000, 0, 0, 19000000, 0, 0, 0, 0, 0, 4000000, 0, 0, 5900000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,41,4,Ariel Gustafson,52fe466a9251416c75077a95,1,13567,Ann-Margret,2,/jx5lTaJ5VXZHYB52gaOTAZ9STZk.jpg,"[15602, 15300, 18588, 11326, 36492, 9563, 11520, 248, 14584, 163907, 20312, 2098, 886, 11045, 123049, 25167, 34193, 9767, 13767, 40682, 55628, 22949, 95358, 39287, 48153, 70585, 47878, 36960, 76297, 28424, 230864, 133018, 50372, 96846, 146916, 28187, 36514, 42128, 186629, 119801, 92572, 198491, 100490, 353070, 42786]",45,"[0, 15000000, 0, 5000000, 0, 55000000, 0, 2900000, 0, 0, 7000000, 0, 0, 25000000, 0, 0, 0, 52000000, 12000000, 0, 0, 35000000, 0, 0, 0, 0, 17000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25000000, 0]"
42,42,5,Maria Sophia Coletta Ragetti,52fe466a9251416c75077a99,1,16757,Sophia Loren,3,/emKLhbji1c7BjcA2DdbWf0EP9zH.jpg,"[15602, 3586, 24167, 32037, 23102, 38866, 1377, 25848, 2984, 45793, 42801, 84655, 36583, 72412, 16638, 42229, 45267, 38151, 11620, 102081, 23030, 47561, 10197, 49687, 17277, 1863, 37596, 77960, 56122, 56290, 216736, 60543, 3582, 15469, 56177, 82113, 56435, 194485, 56287, 166888, 58007, 43035, 177474, 270251]",44,"[0, 15000000, 0, 0, 0, 0, 0, 1750000, 3500000, 0, 0, 0, 115, 0, 0, 0, 0, 0, 8250000, 0, 4800000, 0, 80000000, 0, 19000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,43,6,Melanie Gustafson,52fe466a9251416c75077a9d,1,589,Daryl Hannah,4,/4LLmp6AQdlj6ueGCRbVRSGvvFSt.jpg,"[15602, 79593, 78, 10897, 46029, 12488, 29825, 2619, 13853, 32081, 9849, 11562, 11520, 12611, 10860, 10673, 21362, 196859, 46727, 23941, 10229, 19415, 9930, 32235, 2687, 38244, 24, 14892, 16814, 393, 44047, 51515, 11584, 11508, 125300, 21014, 84242, 38702, 14252, 12255, 27058, 70121, 14143, 74629, 236324, 291869, 277399, 41331, 322922, 25423, 170752, 100669, 57656, 219247, 4288, 11603, 20502]",57,"[0, 14000000, 28000000, 0, 0, 0, 0, 8000000, 15000000, 0, 65000000, 19000000, 0, 5500000, 0, 15000000, 0, 400000, 1000000, 0, 11000000, 0, 0, 0, 40000000, 0, 30000000, 0, 0, 30000000, 0, 36000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4000000, 0, 0, 1000000, 0, 0, 0]"
44,44,9,Grandpa Gustafson,53e5fcc2c3a3684430000d65,2,16523,Burgess Meredith,5,/lm98oKloU33Q7QDIIMSyc4Pr2jA.jpg,"[15602, 13549, 1366, 13764, 1367, 1371, 1375, 11520, 46614, 90980, 18118, 51802, 40555, 10323, 47942, 32077, 17745, 15659, 5122, 23627, 18196, 43799, 17185, 3010, 37921, 2661, 5928, 15301, 1662, 45212, 17599, 34193, 86604, 40060, 250093, 27172, 37301, 27470, 50012, 122515, 118911, 118915, 95555, 26376, 41035, 74759, 49776, 23022, 67220, 61523, 35453, 257084, 217250, 387957, 266135, 264080]",56,"[0, 0, 1000000, 50000000, 7000000, 17000000, 42000000, 0, 0, 0, 7000000, 0, 0, 15000000, 20000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1377800, 0, 10000000, 0, 0, 15000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3500000, 0, 0, 0, 0, 0, 4000000, 0, 0, 0, 0, 0, 0, 0]"
45,45,10,Jacob Goldman,53e5fcd4c3a3684433000e1a,2,7166,Kevin Pollak,6,/kwu2T8CDnThZTzE88uiSgJ5eHXf.jpg,"[15602, 524, 629, 1775, 17402, 18658, 18862, 9591, 31017, 9464, 2107, 847, 881, 140897, 10314, 9946, 8873, 2069, 25212, 11520, 18153, 2018, 84499, 12138, 2302, 10808, 39541, 21220, 35696, 33506, 9021, 23303, 2122, 2026, 15258, 13767, 9546, 17106, 23742, 39303, 15527, 38842, 48572, 73937, 92000, 101731, 54075, 13390, 206284, 15671, 37978, 316067, 296194, 134777, 96715, 359025, 355008, 308266, 190967, 317930, 196359, 55710]",62,"[0, 52000000, 6000000, 11000000, 6, 0, 0, 0, 0, 1500000, 0, 35000000, 40000000, 0, 10000000, 100000000, 0, 41300000, 0, 0, 0, 35000000, 0, 62000000, 0, 70000000, 0, 0, 15600000, 0, 65000000, 17000000, 40000000, 52000000, 0, 12000000, 0, 0, 30000000, 3500000, 0, 22000000, 4000000, 41000000, 10000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40000000, 0, 3000000, 0, 0]"
47,47,2,Bernadine 'Bernie' Harris,52fe44779251416c91011ab1,1,9780,Angela Bassett,1,/tHkgSzhEuJKp5hqp0DZLad8HNZ9.jpg,"[31357, 12158, 281, 41478, 15765, 41768, 686, 33644, 26149, 10384, 1883, 9873, 11371, 57022, 24356, 650, 951, 16232, 27381, 13751, 1267, 12525, 14410, 14637, 16710, 44912, 59962, 57119, 117263, 175541, 157825, 334074, 340275, 267860, 49635, 94105, 30592]",37,"[16000000, 14000000, 42000000, 0, 0, 0, 90000000, 20000000, 27000000, 90000000, 34000000, 0, 68000000, 0, 0, 6500000, 15000000, 30000000, 0, 8000000, 150000000, 0, 0, 11500000, 0, 200000000, 65000000, 6600000, 70000000, 17500000, 0, 20000000, 0, 60000000, 0, 0, 0]"
48,48,3,Gloria 'Glo' Matthews,52fe44779251416c91011ab5,1,18284,Loretta Devine,2,/zLQFwQTFtHkb8sbFdkPNamFI7jv.jpg,"[31357, 21539, 22073, 9877, 125582, 36094, 12212, 3981, 10950, 44634, 1640, 1125, 15250, 14423, 14405, 54982, 44027, 34803, 44944, 41382, 57119, 30963, 290542, 172391, 51017, 47208, 284537, 287636, 276905, 438283]",30,"[16000000, 40000000, 30000000, 14000000, 0, 23000000, 14000000, 70000000, 22000000, 3000000, 6500000, 70000000, 13000000, 0, 20000000, 0, 0, 21000000, 0, 0, 6600000, 0, 0, 20000000, 25000000, 0, 0, 0, 18000000, 4000000]"
49,49,4,Robin Stokes,52fe44779251416c91011ab9,1,51359,Lela Rochon,3,/9DBu3r5O4fBosSS4FnSzFCVpm0O.jpg,"[31357, 11066, 6346, 14398, 46702, 37498, 9563, 9085, 13969, 41894, 277702, 108586, 96715]",13,"[16000000, 40000000, 50000000, 0, 0, 33000000, 55000000, 30000000, 30000000, 0, 0, 0, 0]"
50,50,5,Marvin King,52fe44779251416c91011abd,2,66804,Gregory Hines,4,/rvvQWFQGeGR14WFVNe0Qg1J7uVY.jpg,"[31357, 11858, 66034, 21539, 10156, 15698, 11899, 38617, 16560, 2148, 10725, 45096, 41780, 45203, 20067, 20545, 16082, 209802]",18,"[16000000, 40000000, 0, 40000000, 11000000, 0, 8000000, 12000000, 0, 58000000, 17000000, 13000000, 8000000, 0, 0, 0, 0, 0]"
51,51,6,Kenneth Dawkins,52fe44779251416c91011ac1,2,352,Dennis Haysbert,5,/mn5Nc5Q31GslpVVWs8p41W4TBma.jpg,"[31357, 949, 87078, 66, 9771, 1090, 21719, 12618, 14736, 77434, 66599, 9942, 10712, 18722, 14411, 11067, 25, 4169, 1874, 49444, 82690, 135647, 83890, 201550, 205724, 82703, 184098, 189, 290729, 114750, 243684, 38190, 309299, 169158, 293771, 214756, 81003, 400605, 202984, 407375, 345922, 353491, 365451]",43,"[16000000, 60000000, 0, 50000000, 0, 16000000, 0, 64000000, 20000000, 0, 0, 11000000, 13500000, 0, 60000000, 0, 72000000, 0, 30000000, 150000000, 165000000, 0, 0, 0, 3500000, 145000000, 24000000, 65000000, 0, 1000000, 0, 0, 0, 0, 0, 68000000, 0, 0, 0, 3000000, 20000000, 60000000, 0]"
52,52,8,"John Harris, Sr.",52fe44779251416c91011ac5,2,87118,Michael Beach,6,/lOlWhURNKyZHn71dvq7qC7fiwN6.jpg,"[31357, 40480, 319, 41852, 2756, 29461, 21128, 14621, 55018, 11060, 28553, 26655, 14423, 13300, 60747, 98357, 91586, 68744, 48841, 197626, 208242, 172767, 96715, 49855, 388399]",25,"[16000000, 0, 12500000, 0, 70000000, 0, 0, 0, 1800000, 0, 0, 5000000, 0, 0, 65000000, 56000000, 5000000, 0, 0, 0, 1500000, 3000000, 0, 0, 45000000]"
53,53,10,Troy,52fe44779251416c91011acf,2,34,Mykelti Williamson,7,/8TTxzpuvvpw2tB8xZBCDslYupNU.jpg,"[31357, 949, 11861, 9073, 13, 1634, 31017, 1701, 9440, 10216, 6415, 24739, 8489, 29355, 14746, 10589, 842, 186, 5123, 19912, 24804, 12219, 27584, 41374, 169832, 298609, 341050, 74942, 316727, 393457, 181135]",31,"[16000000, 60000000, 10000000, 0, 55000000, 20000000, 0, 75000000, 65000000, 35000000, 75000000, 3000000, 107000000, 0, 14500000, 60000000, 0, 27000000, 25000000, 40000000, 2900000, 0, 0, 10000000, 0, 0, 0, 0, 10000000, 24000000, 0]"
55,55,21,James Wheeler,56f8a929c3a36816e80084f3,2,10814,Wesley Snipes,9,/hQ6EBa6vgu7HoZpzms8Y10VL5Iw.jpg,"[31357, 11517, 9090, 4954, 9739, 7007, 9566, 9415, 12616, 9558, 11808, 36647, 125582, 22213, 20761, 10158, 41823, 1713, 11398, 31563, 9942, 61418, 36586, 15070, 2165, 39349, 29355, 10952, 10538, 36648, 23520, 9721, 5289, 15071, 24624, 6473, 9650, 13988, 26390, 46429, 46541, 13442, 127509, 138103, 16365, 45602, 340275, 342381]",48,"[16000000, 60000000, 0, 45000000, 57000000, 0, 55000000, 0, 24000000, 1000000, 60000000, 45000000, 0, 0, 24000000, 0, 10000000, 14000000, 40000000, 14000000, 11000000, 0, 54000000, 20000000, 11000000, 0, 0, 8500000, 15000000, 65000000, 0, 13000000, 20000000, 0, 15000000, 0, 0, 0, 17000000, 17000000, 13000000, 0, 0, 90000000, 0, 0, 0, 2000000]"
56,56,1,George Banks,52fe44959251416c75039eb9,2,67773,Steve Martin,0,/rI2EMvkfKKPKa5z0nM2pFVBtUyO.jpg,"[11862, 24070, 43535, 9099, 29193, 2887, 2107, 6471, 9442, 11591, 13697, 16384, 9837, 8388, 8970, 10776, 11353, 51679, 49948, 11176, 125709, 1552, 2609, 10141, 20794, 17450, 10678, 36759, 12772, 11846, 10715, 10407, 11007, 27171, 10631, 11584, 67445, 2610, 9641, 12096, 8780, 15159, 22897, 73937, 151168, 32694, 89743, 228161, 285689, 333348, 293767, 22984, 460822]",53,"[0, 15000000, 0, 0, 10000000, 0, 0, 0, 0, 10100000, 0, 0, 70000000, 25000000, 75000000, 25000000, 55000000, 0, 80000000, 0, 0, 0, 0, 0, 6000000, 22000000, 20000000, 18000000, 0, 0, 80000000, 0, 40000000, 0, 0, 0, 0, 10284523, 60000000, 0, 30000000, 0, 85000000, 41000000, 0, 0, 0, 135000000, 0, 17000000, 40000000, 2000000, 0]"
